Voltage,Current
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.290292491,-1.36E-06
-0.870314452,-4.72E-07
-0.402968501,-1.29E-07
0,0.00E+00
0,0.00E+00
0.531723402,1.91E-07
1.113976332,8.76E-07
1.342942592,1.56E-06
1.800875111,4.90E-06
1.915358241,6.52E-06
2.144324501,1.16E-05
2.358927755,1.98E-05
2.359757732,0.0002
2.359757732,0.0002
2.359757732,0.0002
2.359757732,0.0002
2.359757732,0.0002
2.359757733,0.0002
2.359757734,0.0002
2.359757736,0.0002
2.359757741,0.0002
2.359757751,0.0002
2.359757771,0.0002
2.35975781,0.0002
2.359757889,0.0002
2.359758046,0.0002
2.35975836,0.0002
2.359758988,0.0002
2.359760245,0.0002
2.359762759,0.0002
2.359767786,0.0002
2.359777841,0.0002
2.359797951,0.0002
2.359838171,0.0002
2.35991861,0.0002
2.360079488,0.0002
2.360401245,0.0002
2.361044758,0.0002
2.362331783,0.0002
2.364905835,0.0002
2.370053939,0.0002
2.380350147,0.0002
2.400942562,0.0002
2.442127393,0.0002
2.524497053,0.0002
2.689236375,0.0002
3,0.0002
2.987495833,0.0002
2.9624875,0.0002
2.912470833,0.0002
2.8124375,0.0002
2.612370833,0.0002
2.2122375,0.0002
1.411970833,0.0002
0.59880191,0.0001996
0.39465311,0.000131551
0.393058198,0.000131019
0.389868373,0.000129956
0.383488723,0.000127829
0.370729423,0.000123576
0.345210823,0.00011507
0.294173623,9.81E-05
0.192099223,6.40E-05
-0.012049578,-2.39E-06
-0.420347178,-8.44E-05
-0.624495978,-0.00012701
-1.032793578,-0.00021706
-1.134867978,-0.000240652
-1.339016778,-0.000289095
-1.422312523,-1.90E-06
-1.440303073,-1.99E-06
-1.476284173,-2.17E-06
-1.548246373,-2.60E-06
-1.692170773,-3.73E-06
-1.980019573,-7.67E-06
-2.555717173,-3.23E-05
-3,-9.82E-05
-2.99921849,-9.80E-05
-2.997655469,-9.76E-05
-2.994529427,-9.68E-05
-2.988277344,-9.53E-05
-2.975773177,-9.24E-05
-2.950764844,-8.68E-05
-2.900748177,-7.66E-05
-2.800714844,-5.97E-05
-2.600648177,-3.62E-05
-2.200514844,-1.33E-05
-2.10048151,-1.04E-05
-1.900414844,-6.28E-06
-1.50028151,-2.31E-06
-1.269069352,-1.29E-06
-0.806645034,-4.01E-07
-0.246807052,-7.13E-08
0,0.00E+00
0.872868914,4.75E-07
1.100526547,8.47E-07
1.555841813,2.65E-06
1.700680544,3.81E-06
1.990358008,7.87E-06
2.217482956,1.39E-05
2.449156017,2.48E-05
2.63714682,3.96E-05
2.637905004,0.0002
2.637905004,0.0002
2.637905004,0.0002
2.637905005,0.0002
2.637905005,0.0002
2.637905006,0.0002
2.637905007,0.0002
2.637905011,0.0002
2.637905017,0.0002
2.63790503,0.0002
