time,membrane_voltage,input_current
0.0,0.0002214696,0.0
2e-08,0.0002214696,0.0
2.0002799990998263e-08,0.0002214696,1.399995e-09
2.000839997299477e-08,0.0002214697,4.199987e-09
2.001959993698779e-08,0.0002214701,9.799969e-09
2.004199986497383e-08,0.000221472,2.099993e-08
2.008679972094592e-08,0.0002214802,4.339986e-08
2.017639943289009e-08,0.0002215152,8.819972e-08
2.0355598856778443e-08,0.0002216617,1.777994e-07
2.0713997704555132e-08,0.0002222644,3.569988e-07
2.1430795400108522e-08,0.0002247222,7.153977e-07
2.2864390791215283e-08,0.0002346854,1.432195e-06
2.5731581573428822e-08,0.0002749076,2.865791e-06
3.146596313785589e-08,0.0004368357,5.732982e-06
4e-08,0.0008794423,1e-05
9.376443223150789e-08,0.004428139,1e-05
1.483822681492302e-07,0.008033009,1e-05
2.483822681492302e-07,0.01463277,1e-05
3.483822681492302e-07,0.02123201,1e-05
5.200000000000001e-07,0.03255625,1e-05
5.4e-07,0.03387585,1e-05
5.420000000000001e-07,0.03399454,9e-06
5.460000000000002e-07,0.03420541,7e-06
5.520000000000001e-07,0.03442235,4e-06
5.53e-07,0.03444527,3.5e-06
5.55e-07,0.0344845,2.5e-06
5.560000000000002e-07,0.03449916,2e-06
5.580000000000005e-07,0.03451861,1e-06
5.599999999999999e-07,0.03452504,4.404571e-20
9.574204166666811e-05,0.03408958,0.0
0.0001981420416666706,0.03362722,0.0
0.00025002,0.03339538,0.0
0.00025002000390625,0.03339538,1.953125e-09
0.00025002001171875,0.03339538,5.859375e-09
0.00025002002734375,0.03339538,1.367188e-08
0.00025002005859375,0.03339538,2.929687e-08
0.00025002012109375,0.03339539,6.054687e-08
0.00025002024609375,0.03339546,1.230469e-07
0.00025002049609375,0.03339574,2.480469e-07
0.00025002099609375,0.03339691,4.980469e-07
0.00025002199609375,0.0334017,9.980469e-07
0.00025002399609375,0.03342113,1.998047e-06
0.00025002799609375,0.03349956,3.998047e-06
0.000250032,0.03363104,6e-06
0.00025004,0.03405281,1e-05
0.0002502416000000002,0.04735322,1e-05
0.00025054,0.067036,1e-05
0.00025054184,0.06714613,9.08e-06
0.00025054552,0.06734394,7.24e-06
0.0002505528799999999,0.067605,3.56e-06
0.0002505537699999999,0.06762311,3.115e-06
0.0002505555499999999,0.0676541,2.225e-06
0.0002505564399999999,0.06766567,1.78e-06
0.0002505582199999998,0.06768101,8.9e-07
0.00025056,0.06768606,4.2775160000000004e-18
0.0002958220170833483,0.06727873,0.0
0.0003982220170833507,0.06636623,0.0
0.00050002,0.06547134,0.0
0.00050002000390625,0.06547134,1.953125e-09
0.00050002001171875,0.06547134,5.859375e-09
0.00050002002734375,0.06547134,1.367188e-08
0.00050002005859375,0.06547135,2.929687e-08
0.0005000201210937499,0.06547136,6.054687e-08
0.00050002024609375,0.06547143,1.230469e-07
0.00050002049609375,0.0654717,2.480469e-07
0.0005000209960937499,0.06547286,4.980469e-07
0.0005000219960937499,0.06547762,9.980469e-07
0.00050002399609375,0.065497,1.998047e-06
0.0005000279960937499,0.06557532,3.998047e-06
0.000500032,0.0657067,6e-06
0.00050004,0.06612827,1e-05
0.0005004416000000001,0.09261115,1e-05
0.0005005400000000001,0.09909869,1e-05
0.0005005418400000001,0.09920877,9.08e-06
0.0005005455200000001,0.09940648,7.24e-06
0.0005005528800000002,0.09966736,3.56e-06
0.0005005537700000002,0.09968545,3.115e-06
0.0005005555500000002,0.09971639,2.225e-06
0.0005005564400000001,0.09972794,1.78e-06
0.0005005582199999999,0.09974322,8.9e-07
0.0005005600000000002,0.09974825,0.0
0.0005983220170832868,0.09845623,0.0
0.0007007220170832338,0.09712085,0.0
0.00075002,0.09648445,0.0
0.00075002000390625,0.09648445,1.953125e-09
0.00075002001171875,0.09648445,5.859375e-09
0.00075002002734375,0.09648445,1.367188e-08
0.00075002005859375,0.09648445,2.929687e-08
0.0007500201210937499,0.09648445,6.054687e-08
0.00075002024609375,0.09648452,1.230469e-07
0.00075002049609375,0.09648479,2.480469e-07
0.0007500209960937499,0.09648594,4.980469e-07
0.0007500219960937499,0.09649067,9.980469e-07
0.00075002399609375,0.09650999,1.998047e-06
0.0007500279960937499,0.09658822,3.998047e-06
0.000750032,0.0967195,6e-06
0.00075004,0.09714087,1e-05
0.0007505400000000001,0.1300989,1e-05
0.0007505418400000001,0.130209,9.08e-06
0.0007505455200000001,0.1304066,7.24e-06
0.0007505528800000002,0.1306673,3.56e-06
0.00075056,0.13075,0.0
0.0007987422706093435,0.1299125,0.0
0.0009011422706092904,0.1281505,0.0
0.00100002,0.1264717,0.0
0.00100002000390625,0.1264717,1.953125e-09
0.00100002001171875,0.1264717,5.859375e-09
0.00100002002734375,0.1264717,1.367188e-08
0.00100002005859375,0.1264717,2.929687e-08
0.00100002012109375,0.1264718,6.054687e-08
0.00100002024609375,0.1264718,1.230469e-07
0.00100002049609375,0.1264721,2.480469e-07
0.00100002099609375,0.1264732,4.980469e-07
0.00100002199609375,0.1264779,9.980469e-07
0.00100002399609375,0.1264972,1.998047e-06
0.00100002799609375,0.1265753,3.998047e-06
0.001000032000000001,0.1267065,6e-06
0.00100004,0.1271277,1e-05
0.00100054,0.1600738,1e-05
0.001000541840000001,0.1601838,9.08e-06
0.001000545520000002,0.1603813,7.24e-06
0.001000552880000004,0.1606419,3.56e-06
0.00100056,0.1607244,8.559268000000001e-17
0.001000560001390625,0.1607244,0.0
0.001101542270609342,0.1585745,0.0
0.0012039422706094,0.1564237,0.0
0.00125002,0.1554654,0.0
